Nonono,Happiness with Product,Happiness with Service,Happiness with Buying Experience,Happiness with Design,Happiness with Quality
Computer,happy,Very happy,Happy,Happy,
Phone,Happy,,Happy,Happy,Very happy
Tablet,Very happy,Unhappy,Happy,Happy,Neutral
Calculator,Very happy,Very happy,Very happy,Very happy,Happy
Monitor,Unhappy,Happy,Happy,Happy,Happy
Speaker,Happy,Happy,Very happy,Happy,very happy
Computer,Unhappy,Very unhappy,Happy,Unhappy,
Phone,Very happy,Happy,Happy,Happy,Happy
Tablet,Happy,Happy,Very happy,Happy,Happy
Calculator,,Very happy,Very happy,Very happy,Happy
Monitor,Unhappy,Happy,Happy,Happy,Happy
Speaker,Happy,Happy,Happy,Happy,Happy
Computer,Happy,Happy,Happy,Happy,happy
Phone,Very happy,Happy,Happy,Happy,Happy
Tablet,Very unhappy,Unhappy,Unhappy,Very unhappy,Very unhappy
Laptop,Happy,Happy,Unhappy,Unhappy,Happy
Phone,Very happy,Happy,Happy,Very happy,Happy
Computer,Unhappy,Happy,Unhappy,Unhappy,Happy
Tablet,Happy,Happy,Happy,Happy,Happy
Laptop,Neutral,Happy,Happy,Happy,Happy
Phone,Happy,Happy,Happy,Neutral,Happy
Computer,Happy,Happy,Happy,Happy,Happy
Elephant,Happy,Neutral,Happy,Happy,Happy
Laptop,Happy,Happy,Happy,Happy,Happy
Phone,Happy,Happy,Happy,Happy,Neutral
Computer,Happy,Happy,Happy,Happy,Happy
Tablet,Happy,Very unhappy,Happy,Unhappy,Happy
Laptop,Unhappy,Happy,Happy,Happy,Happy
Phone,Happy,Happy,Very unhappy,Happy,Very happy
Computer,Very happy,Happy,Neutral,Very happy,Very happy
Tablet,Happy,Happy,Happy,Happy,Happy
Laptop,Happy,Very happy,Very happy,Very happy,Very happy
Phone,Happy,Happy,Happy,Happy,Happy
Computer,Happy,Happy,Happy,Happy,Happy
Tablet,Happy,Happy,Happy,Happy,Happy
Laptop,Happy,Happy,Happy,Happy,Happy
Phone,Happy,Happy,Happy,Happy,Happy
Computer,Happy,Neutral,Happy,Happy,Happy
Tablet,Happy,Happy,Happy,Happy,Happy
Laptop,Very unhappy,Happy,Happy,Unhappy,Unhappy
Phone,Happy,Happy,Happy,Happy,
Computer,Happy,Happy,Happy,Happy,Happy
Tablet,Happy,Happy,Happy,Happy,Happy
Laptop,Happy,Happy,Happy,Happy,Happy
Phone,Happy,Happy,Happy,Happy,Happy
Computer,Happy,Happy,Happy,Happy,Happy
Tablet,Happy,Happy,Happy,Happy,Happy
Laptop,Very unhappy,Happy,Neutral,Unhappy,Happy
Phone,Happy,Happy,Happy,Happy,Happy
Computer,Happy,Happy,Happy,Happy,Happy
Tablet,Happy,Neutral,Happy,Happy,Happy
Laptop,Happy,Happy,Happy,Happy,Happy
Computer,Happy,Happy,Happy,Happy,Happy
Tablet,Happy,Happy,Happy,Happy,Happy
Laptop,Very unhappy,Happy,Happy,Unhappy,Happy
Phone,Happy,Happy,Happy,Happy,Happy
Computer,Happy,Happy,Happy,Happy,Happy
Tablet,Very unhappy,Happy,Happy,Happy,Happy
Laptop,Happy,Happy,Neutral,Happy,Happy
Phone,Happy,Neutral,Unhappy,Happy,Happy
Computer,Happy,Happy,Happy,Happy,Happy
Tablet,Happy,Happy,Happy,Happy,Happy
Laptop,Very unhappy,Happy,Happy,Unhappy,Happy
Phone,Happy,Happy,Happy,Happy,Happy
Computer,Happy,Happy,Happy,Happy,Happy
Tablet,Happy,Happy,Happy,Unhappy,Happy
Laptop,Happy,Happy,Neutral,Happy,Happy
Phone,Happy,Happy,Happy,Happy,Happy
Computer,Happy,Happy,Happy,Happy,Happy
Tablet,Happy,Unhappy,Happy,Happy,Happy
Laptop,Happy,Happy,Happy,Happy,Happy
Phone,Happy,Happy,Happy,Neutral,Happy
Computer,Happy,Happy,Happy,Happy,Happy
Tablet,Happy,Happy,Happy,Happy,Happy
Laptop,Very unhappy,Happy,Happy,Unhappy,Happy
Phone,Happy,Happy,Happy,Happy,Happy
Computer,Unhappy,Happy,Happy,Happy,Happy
,Happy,Happy,Neutral,Happy,Happy
Laptop,Happy,Happy,Happy,Happy,Happy
Tablet,Happy,Happy,Happy,Happy,Satisfied
Computer,Happy,Happy,Happy,Happy,Happy
Phone,Happy,Neutral,Happy,Happy,Happy
Speaker,Happy,Happy,Happy,Happy,Happy
Computer,Happy,Happy,Happy,Happy,Happy
Tablet,Happy,Happy,Neutral,Happy,Happy
Laptop,Happy,Happy,Very happy,Happy,Happy
